Nombre_jugador,posicion,seleccion,player_id,Valor_mercado,Total_Lesiones,Años_Expuesto,Tasa_Lambda,Prob_Lesion_Mundial_%,Puntuacion
Weston McKennie,Mediocampista,Estados Unidos,332697,30000000,15,9,1.667,12.97,30000000
Sebastian Berhalter,Mediocampista,Estados Unidos,734761,8000000,1,7,0.143,1.18,8000000
Cristian Roldán,Mediocampista,Estados Unidos,354792,3500000,5,13,0.385,3.16,3500000
Malik Tillman,Mediocampista,Estados Unidos,467437,30000000,15,6,2.5,18.81,30000000
Ricardo Pepi,Delantero,Estados Unidos,627207,30000000,6,5,1.2,9.52,30000000
Christian Pulisic,Delantero,Estados Unidos,315779,40000000,15,9,1.667,12.97,40000000
Brenden Aaronson,Delantero,Estados Unidos,393323,22000000,2,7,0.286,2.36,22000000
Haji Wright,Delantero,Estados Unidos,315291,16000000,11,10,1.1,8.76,16000000
Folarin Balogun,Delantero,Estados Unidos,503770,40000000,8,6,1.333,10.51,40000000
Timothy Weah,Delantero,Estados Unidos,370846,20000000,13,8,1.625,12.66,20000000
Alejandro Zendejas,Delantero,Estados Unidos,351505,10000000,3,10,0.3,2.47,10000000
Max Crocombe,Portero,Nueva Zelanda,207843,1000000,0,14,0.0,0.0,1000000
Alex Paulsen,Portero,Nueva Zelanda,617009,500000,0,5,0.0,0.0,500000
Michael Woud,Portero,Nueva Zelanda,350347,400000,5,9,0.556,4.53,400000
Tim Payne,Defensa,Nueva Zelanda,149901,350000,9,14,0.643,5.22,350000
Francis De Vries,Defensa,Nueva Zelanda,207061,600000,2,13,0.154,1.28,600000
Tyler Bindon,Defensa,Nueva Zelanda,1007720,3500000,4,3,1.333,10.51,3500000
Michael Boxall,Defensa,Nueva Zelanda,81723,150000,2,19,0.105,0.87,150000
Liberato Cacace,Defensa,Nueva Zelanda,469211,2500000,3,7,0.429,3.51,2500000
Nando Pijnaker,Defensa,Nueva Zelanda,455425,400000,7,9,0.778,6.28,400000
Finn Surman,Defensa,Nueva Zelanda,724809,1800000,1,4,0.25,2.06,1800000
Callan Elliot,Defensa,Nueva Zelanda,482204,450000,0,8,0.0,0.0,450000
Tommy Smith,Defensa,Nueva Zelanda,176056,,0,7,0.0,0.0,0
Joe Bell,Mediocampista,Nueva Zelanda,345700,3500000,0,9,0.0,0.0,3500000
Marko Stamenic,Mediocampista,Nueva Zelanda,617018,3000000,5,6,0.833,6.71,3000000
Sarpreet Singh,Mediocampista,Nueva Zelanda,350357,500000,7,9,0.778,6.28,500000
Elijah Just,Mediocampista,Nueva Zelanda,485672,2500000,0,8,0.0,0.0,2500000
Alex Rufer,Mediocampista,Nueva Zelanda,256019,600000,5,12,0.417,3.42,600000
Ben Old,Mediocampista,Nueva Zelanda,617021,1800000,3,5,0.6,4.88,1800000
Callum McCowatt,Mediocampista,Nueva Zelanda,400797,2500000,1,9,0.111,0.92,2500000
Ryan Thomas,Mediocampista,Nueva Zelanda,203357,650000,15,13,1.154,9.17,650000
Lachlan Bayliss,Mediocampista,Nueva Zelanda,1109358,550000,1,5,0.2,1.65,550000
Logan Rogerson,Delantero,Nueva Zelanda,312317,400000,6,10,0.6,4.88,400000
Chris Wood,Delantero,Nueva Zelanda,108725,5000000,15,16,0.938,7.52,5000000
Kosta Barbarouses,Delantero,Nueva Zelanda,50200,300000,6,18,0.333,2.74,300000
Ben Waine,Delantero,Nueva Zelanda,539502,400000,0,7,0.0,0.0,400000
Jesse Randall,Delantero,Nueva Zelanda,677509,900000,0,5,0.0,0.0,900000
Mert Günok,Portero,Turquía,51894,500000,15,19,0.789,6.36,500000
Altay Bayındır,Portero,Turquía,336077,5000000,10,10,1.0,8.0,5000000
Uğurcan Çakır,Portero,Turquía,292199,15000000,15,12,1.25,9.89,15000000
Zeki Çelik,Defensa,Turquía,251075,14000000,11,11,1.0,8.0,14000000
Merih Demiral,Defensa,Turquía,340879,12000000,15,10,1.5,11.75,12000000
Çağlar Söyüncü,Defensa,Turquía,320141,3500000,15,12,1.25,9.89,3500000
Eren Elmalı,Defensa,Turquía,616894,5000000,7,7,1.0,8.0,5000000
Abdülkerim Bardakcı,Defensa,Turquía,199316,6500000,14,13,1.077,8.58,6500000
Ozan Kabak,Defensa,Turquía,361260,15000000,15,8,1.875,14.47,15000000
Mert Müldür,Defensa,Turquía,353922,7000000,7,9,0.778,6.28,7000000
Ferdi Kadıoğlu,Defensa,Turquía,369316,35000000,15,8,1.875,14.47,35000000
Samet Akaydin,Defensa,Turquía,295024,1200000,12,14,0.857,6.89,1200000
Salih Özcan,Mediocampista,Turquía,244940,3500000,12,10,1.2,9.52,3500000
Orkun Kökçü,Mediocampista,Turquía,454567,25000000,12,7,1.714,13.31,25000000
Hakan Çalhanoğlu,Mediocampista,Turquía,126414,16000000,15,14,1.071,8.54,16000000
İsmail Yüksek,Mediocampista,Turquía,613725,15000000,15,9,1.667,12.97,15000000
Kaan Ayhan,Mediocampista,Turquía,119031,1500000,15,13,1.154,9.17,1500000
Kerem Aktürkoğlu,Delantero,Turquía,382528,20000000,8,9,0.889,7.14,20000000
Arda Güler,Delantero,Turquía,861410,90000000,10,3,3.333,24.25,90000000
Deniz Gül,Delantero,Turquía,1063292,5000000,1,3,0.333,2.74,5000000
Kenan Yıldız,Delantero,Turquía,845654,75000000,7,3,2.333,17.67,75000000
İrfan Can Kahveci,Delantero,Turquía,216603,3000000,15,12,1.25,9.89,3000000
Yunus Akgün,Delantero,Turquía,396908,18000000,12,7,1.714,13.31,18000000
Barış Alper Yılmaz,Delantero,Turquía,541537,30000000,4,8,0.5,4.08,30000000
Oğuz Aydın,Delantero,Turquía,563749,7000000,4,7,0.571,4.65,7000000
Can Uzun,Delantero,Turquía,816585,45000000,9,2,4.5,31.27,45000000
